no;urut;kode;pemda;pdrbb2013;pdrbb2014;pdrbb2015;pdrbb2016;pdrbb2017;pdrbb2018;pdrbb2019;pdrbb2020;pdrbb2021;pdrbb2022;pdrbb2023;gpdrbb2014;gpdrbb2015;gpdrbb2016;gpdrbb2017;gpdrbb2018;gpdrbb2019;gpdrbb2020;gpdrbb2021;gpdrbb2022;gpdrbb2023;bd2014;bd2015;bd2016;bd2017;bd2018;bd2019;bd2020;bd2021;bd2022;bd2023;prpad2014;prpad2015;prpad2016;prpad2017;prpad2018;prpad2019;prpad2020;prpad2021;prpad2022;prpad2023;prbm2014;prbm2015;prbm2016;prbm2017;prbm2018;prbm2019;prbm2020;prbm2021;prbm2022;prbm2023;eftpad2014;eftpad2015;eftpad2016;eftpad2017;eftpad2018;eftpad2019;eftpad2020;eftpad2021;eftpad2022;eftpad2023;ba2014;ba2015;ba2016;ba2017;ba2018;ba2019;ba2020;ba2021;ba2022;ba2023;psilpa2014;psilpa2015;psilpa2016;psilpa2017;psilpa2018;psilpa2019;psilpa2020;psilpa2021;psilpa2022;psilpa2023;size2014;size2015;size2016;size2017;size2018;size2019;size2020;size2021;size2022;size2023;opinib2014;opinib2015;opinib2016;opinib2017;opinib2018;opinib2019;opinib2020;opinib2021;opinib2022;opinib2023;area2014;area2015;area2016;area2017;area2018;area2019;area2020;area2021;area2022;area2023;adm2014;adm2015;adm2016;adm2017;adm2018;adm2019;adm2020;adm2021;adm2022;adm2023
11;17;6311;KABUPATEN BALANGAN;6311;9352;9253;9419;10062;10752;11040;10722;12362;19848;20876;;;;;;;;;;;0,057131941;0,354601269;0,19547262;0,113158096;0,014434935;0,287909306;0,01918524;0,056930691;0,626001764;0,417431047;0,068466867;0,05220942;0,046218901;0,078987587;0,053333426;0,05449734;0,073581578;0,120239373;0,048568531;0,046993105;0,388120072;0,310004927;0,301739548;0,26105899;0,21642668;0,219955868;0,20294216;0,149610173;0,238203968;0,253310125;1,859487613;1,340452393;1,610458666;1,576819417;1,223334733;1,409761258;1,26076089;1,657885056;1,084423948;1,905143288;0,031122238;0,126082857;0,030595395;0,140146761;0,153336008;0,102624167;0,076469799;0,042505811;0,334282715;0,108715296;0,127647131;0,05147526;0,18089937;0,089226769;0,124053647;0,209569424;0,120586642;0,121524049;0,124665016;0,232117872;2,1079E+12;1,6557E+12;2,21817E+12;2,20926E+12;2,34342E+12;2,54444E+12;2,5462E+12;2,5807E+12;3,51522E+12;9,26075E+12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
12;18;3204;KABUPATEN BANDUNG;3204;76374;85620;94335;102866;113281;124001;123603;130477;143002;153951;;;;;;;;;;;0,232684881;0,13006501;0,019861561;0,120112074;0,0386557;0,296858099;0,210033124;0,383750478;0,319977026;0,335897701;0,173826193;0,175172698;0,185888825;0,184384518;0,176339879;0,178939115;0,190676603;0,190508395;0,209344459;0,203848059;0,123819995;0,153768837;0,12272503;0,12795312;0,139414968;0,188210334;0,134239951;0,12853823;0,139280649;0,144889768;1,369516047;1,262630796;1,1826302;1,229121578;1,140093149;1,207315571;1,012672195;1,130292285;0,970398719;1,004882523;0,054558653;0,046549371;0,109650309;0,011215975;0,065921077;0,132128419;0,092842694;0,18814875;0,244611949;0,199943115;0,151519683;0,117473807;0,1059227;0,12765051;0,134872427;0,11115229;0,09487568;0,129677199;0,078099222;0,05083952;8,86634E+12;7,84342E+12;8,95346E+12;9,66259E+12;1,04294E+13;1,1264E+13;1,17962E+13;1,23409E+13;1,26263E+13;1,30463E+13;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;20;7201;KABUPATEN BANGGAI;7201;11231;15074;20879;23844;27020;30513;27361;30825;40766;38058;;;;;;;;;;;0,075787031;0,026894762;0,043695764;0,034701789;0,071385515;0,061742494;0,047842471;0,102108541;0,016835686;0,017529912;0,078940006;0,081379873;0,081295192;0,10063942;0,073124178;0,087365391;0,080621336;0,090018777;0,09022376;0,095885377;0,220659719;0,167397878;0,201739349;0,252689759;0,162229506;0,144810807;0,092678378;0,107826792;0,133505659;0,155660524;1,492168329;1,159117801;1,127130323;1,345884474;0,902805567;1,072184843;0,701842073;0,827687672;0,668764836;0,904015918;0,037578859;0,001294835;0,075187034;0,017510669;0,073114777;0,067876469;0,029040428;0,002029617;0,042597138;0,023921708;0,084904435;0,078192971;0,071486856;0,012332447;0,009431944;0,007440544;0,077519829;0,121143364;0,115484648;0,089182526;2,04895E+12;1,61614E+12;1,88791E+12;1,98348E+12;2,1815E+12;2,32998E+12;2,42574E+12;2,62066E+12;2,77463E+12;3,54233E+12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
14;21;7207;KABUPATEN BANGGAI KEPULAUAN;7207;2479;2728;2997;3300;3649;4037;3834;4130;4569;4929;;;;;;;;;;;0,096604543;0,018904043;0,057263208;0,050369256;0,007139599;0,015168554;0,053772211;0,010333321;0,067045088;0,0140471;0,032906079;0,034297381;0,026786516;0,053412002;0,0292025;0,037580453;0,043780756;0,039225143;0,040867464;0,049924841;0,265497383;0,282565821;0,262560832;0,291770235;0,24285997;0,269653611;0,199130648;0,157433088;0,155347897;0,161650376;1,52761232;1,22306585;1,049046841;2,402304961;1,196111654;1,148115422;0,991942242;0,909193118;0,954169589;1,048476093;0,087663942;0,103320165;0,086463402;0,015987629;0,089854733;0,037865199;0,139127615;0,104567564;0,024394875;0,015021213;0,224193133;0,179061415;0,105033208;0,063967732;0,044598534;0,038990544;0,015436851;0,106149;0,098945101;0,067154341;1,49113E+12;3,17753E+12;3,04828E+12;3,17236E+12;3,28065E+12;3,20933E+12;3,37975E+12;3,57474E+12;3,69698E+12;3,71122E+12;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
15;22;7211;KABUPATEN BANGGAI LAUT;7211;1517;1687;1843;2006;2219;2437;2372;2526;2804;3019;;;;;;;;;;;0,014282312;0,059216324;0,051573584;0,063584735;0,006372986;0,040021928;0,062494906;0,072035367;0,074458677;0,013495435;0,031867719;0,026459297;0,036045608;0,048953127;0,035820422;0,040000328;0,041033282;0,035706425;0,039018704;0,049530318;0,254672575;0,409659292;0,361741278;0,337607525;0,348250783;0,330252309;0,239030731;0,08628983;0,154925099;0,193614103;1,835648518;1,655446929;1,585644337;1,718554218;1,208625305;1,325449735;0,741390312;0,466266292;0,952476628;0,895000701;0,071591787;0,017736236;0,150720603;0,073470879;0,087180418;0,055158625;0,235956947;0,199824377;0,026772696;0,053308807;0,087871542;0,111296016;0,13716405;0,174853148;0,136343514;0,005728453;0,008644377;0,029956735;0,073117624;0,017519556;73577226985;2,91343E+11;6,49429E+11;9,20407E+11;1,06342E+12;1,10496E+12;1,26407E+12;1,2032E+12;1,24706E+12;1,3027E+12;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
16;24;1905;KABUPATEN BANGKA BARAT;1905;10687;11473;12249;13221;13823;14168;13415;15432;16759;17663;;;;;;;;;;;0,096267272;0,042800683;0,114717026;0,07894307;0,064484777;0,042718233;0,08076567;0,079583614;0,067281268;0,088666319;0,058507248;0,073779573;0,0630076;0,093960322;0,080481689;0,074098867;0,077726104;0,06784392;0,091658909;0,074086678;0,257206877;0,222624029;0,250875351;0,178632347;0,179417233;0,193632867;0,154844998;0,136435828;0,09068678;0,159784297;1,124785928;1,567056013;1,417253961;1,255019261;1,239080241;1,020139867;0,88671543;0,805202859;1,083824469;1,021770806;0,009705113;0,004940725;0,107036433;0,139265614;0,010379231;0,070188577;0,15113095;0,001636627;0,160417066;0,002391533;0,07164761;0,044317658;0,009715053;0,04958723;0,099810066;0,112526227;0,013686613;0,016305551;0,110974881;0,0583679;1,8772E+12;1,2346E+12;1,27113E+12;1,26757E+12;1,37936E+12;1,46753E+12;1,39889E+12;1,41321E+12;1,71107E+12;1,69134E+12;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;25;1903;KABUPATEN BANGKA SELATAN;1903;6436;6948;7542;8165;8461;8676;8679;9776;10691;11344;;;;;;;;;;;0,079477856;0,053083635;0,070202359;0,053552335;0,006872732;0,036438413;0,190052549;0,113820572;0,180282092;0,023835579;0,044028495;0,051477576;0,05972035;0,108827174;0,057100744;0,066893761;0,067509936;0,07206671;0,05935734;0,066637352;0,309660178;0,30974172;0,253838879;0,221237266;0,255976835;0,238427602;0,193256839;0,184192755;0,21069151;0,239203355;1,43766241;1,065203662;1,155558825;2,464902292;1,273542605;1,34402572;0,767342354;1,607365247;0,830886662;0,999651996;0,008345506;0,152852359;0,133430882;0,05122132;0,044037555;0,059724163;0,20710545;0,029117333;0,021585786;0,0788644;0,137436979;0,237095701;0,107859175;0,093421215;0,049194141;0,05337872;0,003940182;0,075762997;0,15801196;0,053661765;1,81593E+12;1,18529E+12;1,15704E+12;1,20814E+12;1,45998E+12;1,62873E+12;1,6618E+12;1,75692E+12;1,96171E+12;2,05807E+12;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;26;1904;KABUPATEN BANGKA TENGAH;1904;6690;7056;7469;7972;8216;8579;8447;9372;10522;11402;;;;;;;;;;;0,153681729;0,086655605;0,102285466;0,017455403;0,070352341;0,045021937;0,093415543;0,002123344;0,075760644;0,118445529;0,090242635;0,086867752;0,092075008;0,125715347;0,085349974;0,09501396;0,093961385;0,092988324;0,104100361;0,110477416;0,263907369;0,299036024;0,264487456;0,173240081;0,22049488;0,174565457;0,144837425;0,132404175;0,13602059;0,133354201;1,523160451;1,043807403;0,871390919;1,024758452;0,996167609;1,06591273;0,878869117;0,813989698;0,965121299;0,977848455;0,013316934;0,028593509;0,07940817;0,110549797;0,024551095;0,011021628;0,121378131;0,072389327;0,028821201;0,054351145;0,155523447;0,085478197;0,007450359;0,010437751;0,031341612;0,059590892;0,059595711;0,086466433;0,121143414;0,078223395;1,54736E+12;1,20316E+12;1,21043E+12;1,23933E+12;1,3861E+12;1,4742E+12;1,53613E+12;1,49088E+12;1,6444E+12;3,24393E+12;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;27;3526;KABUPATEN BANGKALAN;3526;21709;19199;20134;21655;23848;24676;23290;24757;27164;27740;;;;;;;;;;;0,159273057;0,107534468;0,102989578;0,07832906;0,017389179;0,009950267;0,069265262;0,023404764;0,025023744;0,020198722;0,082639791;0,098240127;0,109220287;0,148773354;0,09795629;0,112478545;0,108920412;0,119404507;0,126968504;0,171266819;0,212219043;0,261390602;0,21225972;0,147346184;0,155579542;0,180132005;0,083687281;0,102529419;0,097464988;0,102374;1,34293723;1,43860619;1,205427795;1,70196781;0,959538412;1,214514028;0,890667737;1,034997828;1,024687922;1,314308382;0,007523512;0,037540654;0,085344334;0,032159443;0,048510092;0,010013353;0,104179482;0,033273347;0,077468153;0,023256194;0,113885818;0,110473731;0,040992671;0,10064096;0,067195146;0,046641572;0,060337913;0,084851635;0,057391504;0,067756807;2,68569E+12;3,08723E+12;2,82502E+12;3,23701E+12;3,24403E+12;3,21938E+12;3,24875E+12;3,28736E+12;3,42697E+12;7,51215E+12;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;28;5106;KABUPATEN BANGLI;5106;4382;4946;5457;5977;6493;6999;6716;6826;7338;7908;;;;;;;;;;;0,100361219;0,057516702;0,009337086;0,024660217;0,009760838;0,024949393;0,157022595;0,002111678;0,030249803;0,017432048;0,096407379;0,100512401;0,100768067;0,095670589;0,110730228;0,107660241;0,103076776;0,14217112;0,130270099;0,173894286;0,092098001;0,123043731;0,231762185;0,155197127;0,154731406;0,130284432;0,056918128;0,165294268;0,237067838;0,163779304;1,386833082;1,070750566;1,139450024;0,890147648;1,018143188;0,912772897;0,631220602;1,568737119;0,84869372;1,012190204;0,02848558;0,03342121;0,040973804;0,10141665;0,102000173;0,146367083;0,186377275;0,03808977;0,013043666;0,046783713;0,195510747;0,116419289;0,035959569;0,09413034;0,035933371;0,048234669;0,064333777;0,101895366;0,036983182;0,010492127;7,9385E+11;8,469E+11;9,29683E+11;1,14806E+12;1,22063E+12;1,31204E+12;1,26816E+12;2,1838E+12;1,51796E+12;1,64939E+12;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
21;30;3304;KABUPATEN BANJARNEGARA;3304;14343;15852;17217;18546;20070;21599;21694;22828;24996;27192;;;;;;;;;;;0,088332758;0,144407885;0,000238547;0,091150841;0,034252278;0,010844417;0,080313113;0,01098536;0,028438455;0,017568965;0,115186503;0,106619828;0,120395736;0,137205419;0,113751272;0,122365546;0,119642286;0,15044182;0,139154471;0,155714811;0,152984925;0,204569848;0,241667367;0,25832447;0,223966982;0,168723423;0,17163245;0,144388855;0,094053068;0,109557529;1,561824807;1,330478455;1,448137276;1,730374964;1,186627664;1,111653272;0,905946633;1,091613264;0,983075472;1,069056109;0,068303796;0,00231241;0,025497019;0,032008024;0,01996286;0,002657046;0,09672958;0,06234679;0,067615217;0,03063279;0,226963233;0,23284529;0,106475816;0,079617081;0,056349912;0,041860411;0,020747502;0,040470897;0,036415962;0,024445238;2,92499E+12;3,77311E+12;3,765E+12;4,12678E+12;4,35575E+12;4,46937E+12;4,52892E+12;4,58444E+12;4,62088E+12;4,56549E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;31;7303;KABUPATEN BANTAENG;7303;4964;5579;6297;6942;7770;8781;8970;10081;12164;12754;;;;;;;;;;;0,013208688;0,174547089;0,058188052;0,051771062;0,115935945;0,035136233;0,1140233;0,128140948;0,072504688;0,031668106;0,069512844;0,054557099;0,063706157;0,072772055;0,101532302;0,103067062;0,117505179;0,124814323;0,172068179;0,192238352;0,198795544;0,146496654;0,360157757;0,256536694;0,222979235;0,227876031;0,135237357;0,149294707;0,175752069;0,136872871;1,166603875;0,950886227;1,060082916;0,641687657;0,5838329;1,084240263;0,695524029;0,664056568;0,951334725;0,997362221;0,015308182;0,134696803;0,085280563;0,053297965;0,116653144;0,062613921;0,095468677;0,135629719;0,080474424;0,050430157;0,01348074;0,044544532;0,003128269;0,002529078;0,002867043;0,006867189;0,001068472;0,011552038;0,019497299;0,017425411;1,58818E+12;1,68569E+12;1,86697E+12;2,29621E+12;2,18308E+12;2,1906E+12;2,20698E+12;2,27732E+12;2,42871E+12;2,41056E+12;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
